number,fertilization,thermoregulation,class,order,family,species,body_mass,body_mass_log,souce_body_mass,sperm_length,sperm_length_log,source_sperm_length,testes_mass,testes_mass_log,source_testes_mass,clutch_size,clutch_size_log,source_clutch_size,genome_size,source_genome_size
159,internal,endotherm,Aves,Passeriformes,Acrocephalidae,Acrocephalus melanopogon,10.95,1.04,Etard et al 2020,103.74,2.015946244,Fitzpatrick et al 2022,0.27,-0.57,Baker et al 2020,4,0.602059991,Etard et al 2020,,
160,internal,endotherm,Aves,Passeriformes,Acrocephalidae,Acrocephalus paludicola,12.05,1.08,Etard et al 2020,89.84,1.953469743,Fitzpatrick et al 2022,0.37,-0.43,Baker et al 2020,4.935,0.693287157,Etard et al 2020,,
161,internal,endotherm,Aves,Passeriformes,Acrocephalidae,Acrocephalus palustris,12,1.08,Etard et al 2020,107.52,2.031489256,Fitzpatrick et al 2022,0.14,-0.85,Baker et al 2020,4.41,0.644438589,Etard et al 2020,,
355,internal,endotherm,Aves,Passeriformes,Acrocephalidae,Acrocephalus schoenobaenus,11.9,1.08,Etard et al 2020,92.31,1.965248751,Fitzpatrick et al 2022,0.17,-0.77,Baker et al 2020,5.5,0.740362689,Etard et al 2020,,
356,internal,endotherm,Aves,Passeriformes,Acrocephalidae,Acrocephalus scirpaceus,12.3,1.09,Etard et al 2020,107.69,2.032175377,Fitzpatrick et al 2022,0.15,-0.82,Baker et al 2020,3.9,0.591064607,Etard et al 2020,,
870,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Addax nasomaculatus,94288.68,4.97,Etard et al 2020,59.08,1.771440487,Fitzpatrick et al 2022,43.15,1.64,Baker et al 2020,1,0,Etard et al 2020,3.98,Animal genome size database
27,external,ectotherm,Amphibia,Anura,Myobatrachidae,Adelotus brevis,5.42,0.73,Etard et al 2020,28.188,1.450064263,Fitzpatrick et al 2022,0.01,-2.21,Baker et al 2020,279.75,2.446770095,Etard et al 2020,2.1,Animal genome size database
357,internal,endotherm,Aves,Passeriformes,Aegithalidae,Aegithalos caudatus,8.28,0.92,Etard et al 2020,70.54,1.848435455,Fitzpatrick et al 2022,0.03,-1.52,Baker et al 2020,9.9,0.995635195,Etard et al 2020,,
572,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Aepyceros melampus,52500.08,4.72,Etard et al 2020,46.15,1.664171705,Fitzpatrick et al 2022,28.91,1.46,Baker et al 2020,0.99,-0.004364805,Etard et al 2020,4.69,Animal genome size database
1342,internal,endotherm,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus rufescens,2820,3.45,Etard et al 2020,99,1.995635195,Fitzpatrick et al 2022,4.68,0.67,Baker et al 2020,1.0225,0.009663317,Etard et al 2020,,
803,internal,endotherm,Mammalia,Rodentia,Muridae,Aethomys chrysophilus,79.7,1.9,Etard et al 2020,102.8595745,2.012244723,Fitzpatrick et al 2022,0.86,-0.06,Baker et al 2020,3.2175,0.507518556,Etard et al 2020,,
804,internal,endotherm,Mammalia,Rodentia,Muridae,Aethomys hindei,103.5,2.01,Etard et al 2020,136,2.133538908,Fitzpatrick et al 2022,2.77,0.44,Tourmente et al 2011,2.475,0.393575203,Etard et al 2020,,
1043,internal,endotherm,Mammalia,Rodentia,Muridae,Aethomys ineptus,107.01,2.03,Etard et al 2020,67,1.826074803,Fitzpatrick et al 2022,0.72,-0.14,Baker et al 2020,3.345,0.524396122,Etard et al 2020,,
673,internal,endotherm,Mammalia,Rodentia,Muridae,Aethomys kaiseri,90,1.95,Etard et al 2020,132,2.120573931,Fitzpatrick et al 2022,,,,2.95,0.469822016,Etard et al 2020,,
1031,internal,endotherm,Mammalia,Rodentia,Muridae,Aethomys nyikae,77.01,1.89,Etard et al 2020,105,2.021189299,Fitzpatrick et al 2022,,,,3.56,0.551449998,Etard et al 2020,,
333,internal,endotherm,Aves,Psittaciformes,Psittaculidae,Agapornis roseicollis,53.83,1.73,Etard et al 2020,77.7,1.890421019,Fitzpatrick et al 2022,,,,5,0.698970004,Etard et al 2020,1.31,Animal genome size database
358,internal,endotherm,Aves,Passeriformes,Icteriade,Agelaius phoeniceus,52.4,1.72,Etard et al 2020,144.7,2.160468531,Fitzpatrick et al 2022,0.54,-0.27,Baker et al 2020,3.3,0.51851394,Etard et al 2020,1.3,Animal genome size database
208,internal,endotherm,Aves,Passeriformes,Icteridae,Agelaius xanthomus,38.4,1.58,Etard et al 2020,114.19,2.057628073,Fitzpatrick et al 2022,0.39,-0.41,Immler et al 2011,3,0.477121255,Etard et al 2020,,
616,internal,endotherm,Mammalia,Carnivora,Ursidae,Ailuropoda melanoleuca,117750,5.07,Etard et al 2020,47.004,1.672134818,Fitzpatrick et al 2022,306.9,2.49,Baker et al 2020,1.58,0.198657087,Etard et al 2020,,
674,internal,endotherm,Mammalia,Rodentia,Muridae,Akodon azarae,25,1.4,Etard et al 2020,94.5,1.975431809,Fitzpatrick et al 2022,,,,4.455,0.648847708,Etard et al 2020,2.43,Animal genome size database
1339,internal,endotherm,Mammalia,Rodentia,Cricetidae,Akodon dolores,43.7,1.64,Etard et al 2020,81.6,1.911690159,Fitzpatrick et al 2022,,,,3.445,0.537189226,Etard et al 2020,2.73,Animal genome size database
791,internal,endotherm,Mammalia,Rodentia,Cricetidae,Akodon molinae,33,1.52,Etard et al 2020,76.5,1.883661435,Fitzpatrick et al 2022,0.45,-0.35,Baker et al 2020,3.77,0.57634135,Etard et al 2020,2.92,Animal genome size database
162,internal,endotherm,Aves,Passeriformes,Alaudidae,Alauda arvensis,37.41,1.57,Etard et al 2020,81.92,1.913389944,Fitzpatrick et al 2022,0.44,-0.36,Baker et al 2020,3.43,0.53529412,Etard et al 2020,,
573,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Alcelaphus buselaphus,160937.88,5.21,Etard et al 2020,48.4,1.684845362,Fitzpatrick et al 2022,106.91,2.03,Baker et al 2020,0.99,-0.004364805,Etard et al 2020,,
871,internal,endotherm,Mammalia,Cetartiodactyla,Cervidae,Alces alces,409449.46,5.61,Etard et al 2020,62.5,1.795880017,Fitzpatrick et al 2022,105.93,2.03,Baker et al 2020,1.27,0.103803721,Etard et al 2020,,
1253,internal,endotherm,Aves,Galliformes,Phasianidae,Alectoris graeca,597.5,2.78,Etard et al 2020,90,1.954242509,Fitzpatrick et al 2022,2.8,0.45,Baker et al 2020,11,1.041392685,Etard et al 2020,,
1136,internal,ectotherm,Reptilia,Crocodylia,Alligatoridae,Alligator mississippiensis,160500,5.21,Etard et al 2020,97,1.986771734,Fitzpatrick et al 2022,,,,50.6,1.704150517,Etard et al 2020,2.49,Animal genome size database
1344,internal,endotherm,Mammalia,Primates,Atelidae,Alouatta caraya,5576.96,3.75,Etard et al 2020,50.09,1.699751032,Fitzpatrick et al 2022,,,,1.005,0.002166062,Etard et al 2020,3.84,Animal genome size database
1290,external,ectotherm,Amphibia,Anura,Alytidae,Alytes obstetricans,13.4,1.13,Etard et al 2020,90,1.954242509,Fitzpatrick et al 2022,,,,131,2.117271296,Etard et al 2020,8,Animal genome size database
189,internal,endotherm,Aves,Passeriformes,Estrildidae,Amandava amandava,9.2,0.96,Etard et al 2020,98.24,1.992288354,Fitzpatrick et al 2022,0.08,-1.1,Baker et al 2020,5.3,0.72427587,Etard et al 2020,,
209,internal,endotherm,Aves,Passeriformes,Icteridae,Amblycercus holosericeus,70.42,1.85,Etard et al 2020,103.64,2.015527404,Fitzpatrick et al 2022,0.16,-0.79,Immler et al 2011,2,0.301029996,Etard et al 2020,,
992,internal,ectotherm,Reptilia,Squamata,Teiidae,Ameiva ameiva,183.27,2.26,Etard et al 2020,72.02,1.857453117,Fitzpatrick et al 2022,,,,5.25,0.720159303,Etard et al 2020,1.66,Animal genome size database
947,internal,ectotherm,Reptilia,Squamata,Teiidae,Ameivula ocellifera,75.34,1.88,Baker et al 2020,56.78,1.754195388,Fitzpatrick et al 2022,0.64,-0.19,Baker et al 2020,2.2,0.342422681,Etard et al 2020,,
180,internal,endotherm,Aves,Passeriformes,Emberizidae,Ammodramus caudacutus,17.42,1.24,Baker et al 2020,181.05,2.257798529,Fitzpatrick et al 2022,1.26,0.1,Baker et al 2020,4,0.602059991,Anage,,
181,internal,endotherm,Aves,Passeriformes,Emberizidae,Ammodramus maritimus,22.49,1.35,Baker et al 2020,209.98,2.322177931,Fitzpatrick et al 2022,0.33,-0.48,Baker et al 2020,4,0.602059991,Anage,,
182,internal,endotherm,Aves,Passeriformes,Emberizidae,Ammodramus savannarum,17.8,1.25,Etard et al 2020,284.8,2.454539985,Fitzpatrick et al 2022,0.39,-0.41,Baker et al 2020,4.445,0.647871765,Etard et al 2020,1.32,Animal genome size database
28,external,ectotherm,Amphibia,Anura,Ranidae,Amolops lifanensis,14.35,1.16,Baker et al 2020,46.7,1.669316881,Fitzpatrick et al 2022,0.04,-1.35,Baker et al 2020,140,2.146128036,Lupold et al 2017,,
29,external,ectotherm,Amphibia,Anura,Ranidae,Amolops mantzorum,36,1.56,Etard et al 2020,56.2,1.749736316,Fitzpatrick et al 2022,0.02,-1.65,Baker et al 2020,560,2.748188027,Lupold et al 2017,,
1,external,ectotherm,Amphibia,Anura,Ranidae,Amolops wuyiensis,8,0.9,AmphiBIO,68,1.832508913,Fitzpatrick et al 2022,,,,600.5,2.778513012,Etard et al 2020,,
1356,internal,ectotherm,Reptilia,Squamata,Amphisbaenidae,Amphisbaena alba,210,2.32,Etard et al 2020,84.3,1.925827575,Fitzpatrick et al 2022,,,,10.125,1.005395032,Etard et al 2020,,
359,internal,endotherm,Aves,Passeriformes,Maluridae,Amytornis striatus,19.65,1.29,Etard et al 2020,82.11,1.914396052,Fitzpatrick et al 2022,0.4,-0.4,Baker et al 2020,2.45,0.389166084,Etard et al 2020,,
527,internal,endotherm,Mammalia,Rodentia,Muridae,Anisomys imitator,510.5,2.71,Etard et al 2020,151,2.178976947,Fitzpatrick et al 2022,4.17,0.62,Baker et al 2020,,,,,
1189,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis aliniger,4.54,0.66,Etard et al 2020,97.255,1.987911938,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1190,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis angusticeps,3.15,0.5,Etard et al 2020,95.952,1.982054031,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1191,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis bahorucoensis,2.8,0.45,Etard et al 2020,94.98,1.977632165,Fitzpatrick et al 2022,,,,1.075012936,0.03141369,Etard et al 2020,,
1192,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis baleatus,114.82,2.06,Etard et al 2020,103.469,2.014810252,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1193,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis barahonae,100.48,2,Etard et al 2020,101.201,2.005184804,Fitzpatrick et al 2022,,,,1.291713931,0.111166343,Etard et al 2020,,
1194,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis brevirostris,3.18,0.5,Etard et al 2020,111.408,2.046916378,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
980,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis carolinensis,3.7,0.57,Etard et al 2020,84.61,1.927421695,Fitzpatrick et al 2022,,,,1.225002859,0.088137102,Etard et al 2020,1.61,Animal genome size database
1195,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis chlorocyanus,6.9,0.84,Etard et al 2020,97.471,1.988875422,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1196,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis christophei,2.5,0.4,Etard et al 2020,106.361,2.026782412,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1197,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis coelestinus,12.2,1.09,Etard et al 2020,97.222,1.987764551,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1198,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis cooki,7.1,0.85,Etard et al 2020,100.815,2.003525154,Fitzpatrick et al 2022,,,,1.75,0.243038049,Etard et al 2020,,
1199,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis cristatellus,8.4,0.92,Etard et al 2020,100.707,2.003059659,Fitzpatrick et al 2022,,,,1.75,0.243038049,Etard et al 2020,,
1200,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis cuvieri,59.62,1.78,Etard et al 2020,99.301,1.996953622,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1201,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis equestris,98.67,1.99,Etard et al 2020,96.79,1.98583049,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,1.89,Animal genome size database
1202,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis etheridgei,1.7,0.23,Etard et al 2020,89.959,1.954044619,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1203,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis evermanni,9.8,0.99,Etard et al 2020,106.075,2.02561304,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1204,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis gundlachi,6.9,0.84,Etard et al 2020,116.444,2.066117116,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1205,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis insolitus,2.2,0.34,Etard et al 2020,87.533,1.942171813,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1206,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis krugi,3.5,0.54,Etard et al 2020,106.939,2.029136119,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1207,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis longitibialis,7.8,0.89,Etard et al 2020,102.658,2.011392799,Fitzpatrick et al 2022,,,,1.500015095,0.17609563,Etard et al 2020,,
1208,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis marcanoi,5.72,0.76,Etard et al 2020,107.549,2.031606377,Fitzpatrick et al 2022,,,,,,,,
1209,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis occultus,1.59,0.2,Etard et al 2020,114.419,2.058498148,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1210,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis olssoni,3.15,0.5,Etard et al 2020,95.07,1.978043494,Fitzpatrick et al 2022,,,,1.500015095,0.17609563,Etard et al 2020,,
1211,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis poncensis,2.36,0.37,Etard et al 2020,92.733,1.96723431,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1212,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis porcatus,5.95,0.77,Etard et al 2020,86.141,1.935209909,Fitzpatrick et al 2022,,,,1.3,0.113943352,Etard et al 2020,,
1213,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis pulchellus,2.86,0.46,Etard et al 2020,105.926,2.025002573,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1214,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis sagrei,4.05,0.61,Etard et al 2020,98.492,1.993400956,Fitzpatrick et al 2022,,,,1.500015095,0.17609563,Etard et al 2020,,
1215,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis semilineatus,1.5,0.18,Etard et al 2020,92.792,1.967510535,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
1216,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis smaragdinus,5.5,0.74,Etard et al 2020,98.008,1.991261527,Fitzpatrick et al 2022,,,,1.3,0.113943352,Etard et al 2020,,
1217,internal,ectotherm,Reptilia,Squamata,Dactyloidae,Anolis stratulus,1.97,0.3,Etard et al 2020,109.433,2.039148305,Fitzpatrick et al 2022,,,,1,0,Etard et al 2020,,
740,internal,endotherm,Mammalia,Chiroptera,Phyllostomidae,Anoura cultrata,17.12,1.23,Etard et al 2020,62.6,1.796574333,Fitzpatrick et al 2022,0.1,-1,Baker et al 2020,1.22,0.086359831,Etard et al 2020,,
505,internal,endotherm,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus stuartii,27.85,1.44,Etard et al 2020,271.1,2.433129518,Fitzpatrick et al 2022,0.35,-0.46,Baker et al 2020,6.9175,0.839949168,Etard et al 2020,,
570,internal,endotherm,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus swainsonii,55.85,1.75,Etard et al 2020,260,2.414973348,Taggart et al in Birkhead & Moller 1998,0.36,-0.44,Baker et al 2020,8.18,0.912753304,Etard et al 2020,,
240,internal,endotherm,Aves,Passeriformes,Motacillidae,Anthus campestris,23,1.36,Etard et al 2020,60.96,1.785044958,Fitzpatrick et al 2022,0.43,-0.37,Baker et al 2020,4.2,0.62324929,Etard et al 2020,,
360,internal,endotherm,Aves,Passeriformes,Motacillidae,Anthus pratensis,18.4,1.26,Etard et al 2020,71.3,1.85308953,Fitzpatrick et al 2022,0.32,-0.5,Baker et al 2020,4.775,0.678973376,Etard et al 2020,,
361,internal,endotherm,Aves,Passeriformes,Motacillidae,Anthus trivialis,23.4,1.37,Etard et al 2020,87.06,1.939818663,Fitzpatrick et al 2022,0.23,-0.63,Rowe et al 2015,4.64,0.666517981,Etard et al 2020,,
872,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Antidorcas marsupialis,32535.62,4.51,Etard et al 2020,57.838,1.762213267,Fitzpatrick et al 2022,70.96,1.85,Baker et al 2020,1,0,Etard et al 2020,,
574,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Antilope cervicapra,36900.55,4.57,Etard et al 2020,62.59,1.796504952,Fitzpatrick et al 2022,26,1.41,Lupold & Fitzpatrick 2015,1.11,0.045322979,Etard et al 2020,,
495,internal,endotherm,Mammalia,Chiroptera,Vespertilionidae,Antrozous pallidus,22,1.34,Etard et al 2020,58.6,1.767897616,Fitzpatrick et al 2022,0.17,-0.77,Baker et al 2020,1.89,0.276461804,Etard et al 2020,2.67,Animal genome size database
672,internal,endotherm,Mammalia,Rodentia,Aplodontidae,Aplodontia rufa,806.21,2.91,Etard et al 2020,100,2,Fitzpatrick et al 2022,,,,2.63,0.419955748,Etard et al 2020,,
806,internal,endotherm,Mammalia,Rodentia,Muridae,Apodemus agrarius,21.2,1.33,Etard et al 2020,130,2.113943352,Fitzpatrick et al 2022,0.99,0,Baker et al 2020,5.66,0.752816431,Etard et al 2020,3.11,Animal genome size database
807,internal,endotherm,Mammalia,Rodentia,Muridae,Apodemus argenteus,21,1.32,Etard et al 2020,123,2.089905111,Fitzpatrick et al 2022,0.62,-0.21,Baker et al 2020,5.16,0.712649702,Etard et al 2020,,
808,internal,endotherm,Mammalia,Rodentia,Muridae,Apodemus flavicollis,29.38,1.47,Etard et al 2020,125.4,2.098297536,Fitzpatrick et al 2022,0.89,-0.05,Baker et al 2020,5.22,0.717670503,Etard et al 2020,3.24,Animal genome size database
675,internal,endotherm,Mammalia,Rodentia,Muridae,Apodemus peninsulae,31.15,1.49,Etard et al 2020,124.1,2.093771781,Fitzpatrick et al 2022,,,,4.555,0.658488381,Etard et al 2020,,
809,internal,endotherm,Mammalia,Rodentia,Muridae,Apodemus semotus,24.69,1.39,Etard et al 2020,128,2.10720997,Fitzpatrick et al 2022,1.38,0.14,Baker et al 2020,4.365,0.639984248,Etard et al 2020,,
810,internal,endotherm,Mammalia,Rodentia,Muridae,Apodemus speciosus,38.78,1.59,Etard et al 2020,130,2.113943352,Fitzpatrick et al 2022,1.23,0.09,Baker et al 2020,4.47,0.650307523,Etard et al 2020,,
811,internal,endotherm,Mammalia,Rodentia,Muridae,Apodemus sylvaticus,23.4,1.37,Etard et al 2020,133.8,2.126456113,Fitzpatrick et al 2022,0.79,-0.1,Baker et al 2020,5.17,0.713490543,Etard et al 2020,3.29,Animal genome size database
1065,internal,endotherm,Mammalia,Rodentia,Muridae,Apomys abrae,45.74,1.66,Etard et al 2020,115.5,2.062581984,Fitzpatrick et al 2022,,,,,,,,
1066,internal,endotherm,Mammalia,Rodentia,Muridae,Apomys camiguinensis,32.69,1.51,Etard et al 2020,94.3,1.974511693,Fitzpatrick et al 2022,,,,,,,,
1067,internal,endotherm,Mammalia,Rodentia,Muridae,Apomys datae,70.44,1.85,Etard et al 2020,121.6,2.084933575,Fitzpatrick et al 2022,,,,,,,,
1068,internal,endotherm,Mammalia,Rodentia,Muridae,Apomys insignis,32.39,1.51,Etard et al 2020,99.6,1.998259338,Fitzpatrick et al 2022,,,,,,,,
1069,internal,endotherm,Mammalia,Rodentia,Muridae,Apomys microdon,35.04,1.54,Etard et al 2020,123.2,2.090610708,Fitzpatrick et al 2022,,,,,,,,
1070,internal,endotherm,Mammalia,Rodentia,Muridae,Apomys musculus,21.2,1.33,Etard et al 2020,120.5,2.080987047,Fitzpatrick et al 2022,,,,,,,,
1009,internal,endotherm,Mammalia,Carnivora,Viverridae,Arctictis binturong,11437.5,4.06,Etard et al 2020,78.274,1.893617528,Fitzpatrick et al 2022,,,,2.5,0.397940009,Etard et al 2020,,
1077,external,ectotherm,Amphibia,Anura,Myobatrachidae,Arenophryne rotunda,8,0.9,Etard et al 2020,46.498,1.667434273,Fitzpatrick et al 2022,,,,7.5,0.875061263,Etard et al 2020,,
1265,internal,endotherm,Aves,Passeriformes,Pycnonotidae,Arizelocichla montana,32.51,1.51,Etard et al 2020,86.55,1.937267072,Fitzpatrick et al 2022,,,,1.4,0.146128036,Etard et al 2020,,
1266,internal,endotherm,Aves,Passeriformes,Pycnonotidae,Arizelocichla tephrolaema,35.94,1.56,Etard et al 2020,70.45,1.847880997,Fitzpatrick et al 2022,,,,2,0.301029996,Etard et al 2020,,
183,internal,endotherm,Aves,Passeriformes,Emberizidae,Arremon flavirostris,26.63,1.43,Etard et al 2020,229.8,2.361350024,Fitzpatrick et al 2022,0.47,-0.33,Immler et al 2011,,,,,
998,internal,endotherm,Mammalia,Chiroptera,Phyllostomidae,Artibeus jamaicensis,43.63,1.64,Etard et al 2020,77.18,1.887504774,Fitzpatrick et al 2022,0.05,-1.29,Baker et al 2020,1,0,Etard et al 2020,2.56,Animal genome size database
741,internal,endotherm,Mammalia,Chiroptera,Phyllostomidae,Artibeus lituratus,59.3,1.77,Etard et al 2020,85.7,1.932980822,Fitzpatrick et al 2022,0.23,-0.64,Baker et al 2020,1,0,Etard et al 2020,2.7,Animal genome size database
1358,internal,ectotherm,Reptilia,Squamata,Teiidae,Aspidoscelis gularis,45.9,1.66,Etard et al 2020,54.56,1.736874362,Fitzpatrick et al 2022,,,,3.694887993,0.567601278,Etard et al 2020,,
1345,internal,endotherm,Mammalia,Primates,Atelidae,Ateles belzebuth,5846.21,3.77,Etard et al 2020,70.83,1.850217242,Fitzpatrick et al 2022,,,,1.01,0.004321374,Etard et al 2020,2.88,Animal genome size database
911,internal,endotherm,Mammalia,Primates,Atelidae,Ateles paniscus,7900.05,3.9,Etard et al 2020,65.1,1.813580989,Fitzpatrick et al 2022,64.23,1.81,Lupold et al 2015,1,0,Etard et al 2020,3.47,Animal genome size database
82,external,ectotherm,Amphibia,Anura,Megophryidae,Atympanophrys shapingensis,72.9,1.86,Liao et al 2018,186.7,2.271144318,Fitzpatrick et al 2022,0.03,-1.52,Liao et al 2018,950,2.977723605,Lupold et al 2017,,
590,internal,endotherm,Mammalia,Cetartiodactyla,Cervidae,Axis axis,67281.85,4.83,Etard et al 2020,66.2,1.820857989,Fitzpatrick et al 2022,13.46,1.13,Baker et al 2020,1.02,0.008600172,Etard et al 2020,,
